borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,supported_rate,total_schooldays,presence_rate,absence_rate,release_rate,mean_score_math,mean_score_ela,diversity_index
Manhattan,05M129,Manhattanville,M,5,P.S. 129 John H. Finley,2006,513,48.1,51.9,1.9,48.9,48.0,0.7999999999999972,0.4,14.6,9.0,78.5,186.0,90.62,8.98,0.2,221.05,214.7,53.0038
Manhattan,05M161,Manhattanville,M,5,P.S. 161 Pedro Albizu Campos,2006,885,49.0,51.0,1.0,14.8,82.7,0.4000000000000057,1.1,13.4,39.3,96.9,186.0,92.1,7.67,0.11,234.85,218.75,29.39299999999998
Manhattan,05M286,Manhattanville,M,5,I.S. M286 Renaissance Leadership Academy,2006,259,40.2,59.8,0.0,63.3,36.3,0.0,0.4,21.6,7.3,80.5,186.0,93.77,6.23,0.0,228.46999999999997,217.76999999999998,46.7526
Manhattan,05M499,Central Harlem North,M,5,Frederick Douglass Academy,2006,1504,51.5,48.5,0.8,72.0,26.7,0.09999999999999433,0.4,5.1,0.6,63.6,186.0,88.53,7.76,3.64,241.25,228.2,41.022999999999996
Manhattan,05M670,Central Harlem North,M,5,Thurgood Marshall Academy for Learning and Social,2006,579,54.7,45.3,1.4,74.4,22.5,0.7999999999999828,0.9,7.6,0.5,65.7,186.0,85.28,8.8,5.75,226.2,217.55,39.54979999999999
Manhattan,06M018,Inwood,M,6,P.S. 018 Park Terrace,2006,441,50.1,49.9,1.4,1.8,95.7,0.19999999999998866,0.9,10.0,46.3,87.4,186.0,92.33,7.45,0.0,200.9,204.75,8.35459999999999
Manhattan,06M052,Inwood,M,6,J.H.S. 052 Inwood,2006,1115,50.7,49.3,0.8,4.2,94.3,0.0,0.7,12.2,22.7,85.4,186.0,91.44,8.56,0.0,204.2,214.2,10.887400000000003
Manhattan,06M143,Washington Heights,M,6,J.H.S. 143 Eleanor Roosevelt,2006,1141,44.0,56.0,0.4,1.4,97.5,0.20000000000000284,0.5,14.9,26.5,84.4,186.0,88.52,11.48,0.0,208.65,207.7,4.913400000000001
Manhattan,06M187,Washington Heights,M,6,P.S./I.S. 187 Hudson Cliffs,2006,372,49.7,50.3,6.2,2.4,59.9,0.9000000000000057,30.6,5.4,21.8,62.39,186.0,94.88,4.85,0.0,240.65,233.1,54.306200000000004
Manhattan,06M210,Hamilton Heights,M,6,P.S./I.S. 210 - Twenty-first Century Academy for C,2006,257,51.4,48.6,0.0,1.6,98.4,0.0,0.0,8.6,51.4,92.2,186.0,93.65,5.95,0.0,223.15,220.35,3.148799999999974
Manhattan,06M223,Manhattanville,M,6,The Mott Hall School,2006,130,61.5,38.5,10.0,0.8,85.4,0.0,3.8,4.6,2.3,62.0,186.0,96.07,3.37,0.0,274.35,254.0,25.917599999999986
Manhattan,06M278,Inwood,M,6,Paula Hedbavny School,2006,453,44.2,55.8,1.3,4.9,88.3,0.0,5.5,16.6,30.2,73.5,186.0,93.6,6.4,0.0,216.8,207.95,21.471600000000002
Manhattan,06M293,Washington Heights N.,M,6,City College Academy of the Arts,2006,161,49.1,50.9,0.6,3.7,95.0,0.10000000000000853,0.6,17.4,19.3,76.2,186.0,94.94,4.43,0.0,218.95,214.3,9.605799999999999
Manhattan,06M311,Inwood,M,6,Amistad Dual Language School,2006,410,55.1,44.9,2.9,3.4,84.1,0.10000000000000853,9.5,13.4,27.8,73.3,183.0,93.84,5.91,0.0,238.6,223.2,28.169600000000006
Manhattan,06M319,Washington Heights,M,6,M.S. 319 - Maria Teresa,2006,462,42.0,58.0,0.6,7.8,90.0,0.2999999999999972,1.3,16.5,26.2,98.7,186.0,92.87,7.13,0.0,211.05,201.95,18.370199999999993
Manhattan,06M322,Washington Heights,M,6,Middle School 322,2006,546,46.2,53.8,0.4,5.1,93.8,0.20000000000000284,0.5,14.7,28.0,78.0,186.0,89.6,9.85,0.18,192.2,197.8,11.751000000000012
Manhattan,06M324,Washington Heights,M,6,M.S. 324 - Patria Mirabal,2006,414,46.6,53.4,0.7,12.6,85.0,0.5,1.2,20.8,23.7,88.0,186.0,94.27,5.73,0.0,205.5,201.75,26.140600000000003
Manhattan,06M328,Washington Heights,M,6,M.S. 328 - Manhattan Middle School for Scientific,2006,595,46.2,53.8,0.2,11.6,87.1,0.4000000000000057,0.7,12.3,34.8,98.8,186.0,91.92,8.08,0.0,220.27307692307693,215.2769230769231,22.783399999999997
Manhattan,06M346,Washington Heights S.,M,6,Community Health Academy of the Heights,2006,155,47.1,52.9,1.3,2.6,94.2,-1.4210854715202004e-14,1.9,7.7,16.1,60.0,186.0,92.72,7.28,0.0,220.27307692307693,215.2769230769231,11.142999999999981
Manhattan,06M348,Washington Heights N.,M,6,Washington Heights Expeditionary Learning School,2006,154,51.9,48.1,0.0,2.6,96.1,0.7000000000000172,0.6,4.5,21.4,60.0,186.0,94.74,4.61,0.0,220.27307692307693,215.2769230769231,7.571800000000007
Manhattan,06M349,Washington Heights,M,6,Harbor Heights,2006,201,44.8,55.2,0.0,0.0,99.5,0.5,0.0,1.0,85.6,60.0,186.0,95.54,4.46,0.0,220.27307692307693,215.2769230769231,0.9949999999999903
Manhattan,06M528,Washington Heights,M,6,I.S. 528 Bea Fuller Rodgers School,2006,279,64.2,35.8,0.0,4.7,95.0,0.2999999999999972,0.0,8.2,9.0,96.8,186.0,93.14,6.5,0.0,228.55,217.55,9.528199999999998
Bronx,07X005,Melrose,X,7,P.S. 5 Port Morris,2006,592,51.7,48.3,0.3,27.5,71.1,0.4000000000000057,0.7,11.3,21.8,97.9,186.0,90.64,9.01,0.17,226.0,208.8,41.87799999999999
Bronx,07X029,Melrose,X,7,P.S./M.S. 029 Melrose School,2006,767,52.8,47.2,0.1,29.3,70.5,0.09999999999999433,0.0,14.9,14.9,89.6,186.0,89.35,10.27,0.26,220.95,209.90000000000003,41.7124
Bronx,07X031,Concourse Village,X,7,P.S./M.S. 031 The William Lloyd Garrison,2006,823,51.9,48.1,2.7,27.5,67.3,1.5,1.0,12.9,14.9,77.0,186.0,91.29,8.59,0.0,227.7,213.5,47.0392
Bronx,07X151,Concourse Village,X,7,J.H.S. 151 Lou Gehrig,2006,298,46.0,54.0,0.3,33.9,65.1,1.4210854715202004e-14,0.7,21.5,18.5,86.5,186.0,88.22,11.45,0.0,174.75,192.2,46.12200000000002
Bronx,07X221,Mott Haven-Port Morris,X,7,South Bronx Preparatory: A College Board School,2006,508,53.9,46.1,1.0,34.1,63.0,1.5,0.4,17.1,3.3,87.8,186.0,84.43,10.38,4.99,207.6,219.55,48.64779999999998
Bronx,07X223,Mott Haven-Port Morris,X,7,M.S. 223 The Laboratory School of Finance and Tech,2006,469,49.3,50.7,0.2,26.2,72.7,0.7000000000000028,0.2,15.4,16.4,95.3,186.0,90.87,8.92,0.0,200.89999999999998,202.17222222222222,40.27700000000001
Bronx,07X224,Mott Haven,X,7,P.S./I.S. 224,2006,400,44.5,55.5,1.3,38.8,59.3,0.30000000000001137,0.3,24.8,11.3,87.6,186.0,85.6,14.4,0.0,184.8,188.5,49.76200000000001
Bronx,07X296,Melrose,X,7,South Bronx Academy for Applied Media,2006,205,45.9,54.1,0.0,40.5,58.5,0.0,1.0,24.9,15.6,84.6,186.0,88.04,11.48,0.0,176.0,186.5,49.365
Bronx,07X298,Melrose,X,7,Academy of Public Relations,2006,201,50.7,49.3,0.0,24.9,74.6,0.0,0.5,23.4,22.4,99.0,186.0,90.59,8.91,0.0,186.5,194.8,38.145799999999994
Bronx,07X343,Mott Haven,X,7,Academy of Applied Mathematics and Technology,2006,221,44.8,55.2,0.0,38.0,60.2,0.3999999999999915,1.4,29.0,7.2,60.0,186.0,90.32,9.22,0.0,200.89999999999998,202.17222222222222,49.29840000000001
