borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,diversity_index
Manhattan,04M610,East Harlem South,M,4,Young Women's Leadership School,2006,418,100.0,0.0,1.4,36.1,59.3,1.7999999999999972,1.4,4.8,0.5,63.3,185.0,89.95,6.46,3.35,117.0,99.15,0.85,51.73140000000001
Manhattan,04M680,East Harlem South,M,4,"Heritage School, The",2006,331,50.5,49.5,0.6,33.2,62.5,2.499999999999986,1.2,18.4,3.9,72.5,169.0,84.83,15.17,0.0,124.0,75.81,12.1,49.834599999999995
Manhattan,05M304,Central Harlem North,M,5,Mott Hall High School,2006,317,50.2,49.8,1.9,30.3,58.0,7.299999999999998,2.5,8.5,3.8,94.7,170.0,85.98,13.71,0.0,1.0,0.0,0.0,56.54760000000001
Manhattan,05M499,Central Harlem North,M,5,Frederick Douglass Academy,2006,1504,51.5,48.5,0.8,72.0,26.7,0.09999999999999433,0.4,5.1,0.6,63.6,186.0,88.53,7.76,3.64,305.0,85.25,3.61,41.022999999999996
Manhattan,05M670,Central Harlem North,M,5,Thurgood Marshall Academy for Learning and Social,2006,579,54.7,45.3,1.4,74.4,22.5,0.7999999999999828,0.9,7.6,0.5,65.7,186.0,85.28,8.8,5.75,126.0,84.13,7.14,39.54979999999999
Manhattan,05M692,Manhattanville,M,5,"High School for Mathematics, Science and Engineering at City College",2006,440,37.7,62.3,24.8,14.5,31.4,7.000000000000013,22.3,1.1,,19.9,,,,,85.0,1.18,1.18,76.4246
Manhattan,06M293,Washington Heights N.,M,6,City College Academy of the Arts,2006,161,49.1,50.9,0.6,3.7,95.0,0.10000000000000853,0.6,17.4,19.3,76.2,186.0,94.94,4.43,0.0,,,,9.605799999999999
Manhattan,06M346,Washington Heights S.,M,6,Community Health Academy of the Heights,2006,155,47.1,52.9,1.3,2.6,94.2,-1.4210854715202004e-14,1.9,7.7,16.1,60.0,186.0,92.72,7.28,0.0,,,,11.142999999999981
Manhattan,06M348,Washington Heights N.,M,6,Washington Heights Expeditionary Learning School,2006,154,51.9,48.1,0.0,2.6,96.1,0.7000000000000172,0.6,4.5,21.4,60.0,186.0,94.74,4.61,0.0,,,,7.571800000000007
Manhattan,06M462,Washington Heights N.,M,6,The College Academy,2006,720,42.5,57.5,0.3,6.1,91.7,1.2999999999999972,0.6,14.4,28.1,76.0,170.0,87.54,12.32,0.0,184.0,66.3,15.22,15.517599999999987
