BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
K138,2015,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,1.0,2.0
K269,2015,2.0,3.0,3.0,,1.0,,,,2.0,,2.67,1.0,2.0
Q184,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
Q550,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
K568,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
K134,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K073,2015,2.0,3.0,2.0,,2.0,,,,2.0,,2.33,2.0,2.0
M312,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
K112,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K249,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K489,2015,2.0,2.0,2.0,,2.0,,,,2.0,,2.0,2.0,2.0
K319,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
X564,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
X427,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
X477,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
K354,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K204,2015,2.0,2.0,1.0,,1.0,,,,1.0,,1.67,1.0,1.0
Q494,2015,3.0,3.0,2.0,,2.0,,,,3.0,,2.67,2.0,3.0
X248,2015,3.0,3.0,3.0,,2.0,,,,3.0,,3.0,2.0,3.0
M286,2015,2.0,3.0,3.0,,1.0,,,,2.0,,2.67,1.0,2.0
M210,2015,1.0,2.0,2.0,,1.0,,,,2.0,,1.67,1.0,2.0
K368,2015,1.0,1.0,2.0,,2.0,,,,1.0,,1.33,2.0,1.0
Q176,2015,2.0,2.0,1.0,,2.0,,,,2.0,,1.67,2.0,2.0
K146,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q273,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
X230,2015,3.0,3.0,3.0,,2.0,,,,3.0,,3.0,2.0,3.0
X366,2015,3.0,2.0,2.0,,2.0,,,,1.0,,2.33,2.0,1.0
M459,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q555,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K462,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
X385,2015,3.0,3.0,3.0,,2.0,,,,2.0,,3.0,2.0,2.0
Q294,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q062,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
M531,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K308,2015,2.0,3.0,2.0,,2.0,,,,2.0,,2.33,2.0,2.0
X029,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
X215,2015,1.0,2.0,2.0,,1.0,,,,2.0,,1.67,1.0,2.0
M570,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K447,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
Q216,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M302,2015,2.0,3.0,2.0,,2.0,,,,2.0,,2.33,2.0,2.0
M130,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
M345,2015,2.0,2.0,2.0,,2.0,,,,2.0,,2.0,2.0,2.0
M392,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q213,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q317,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
Q305,2015,2.0,2.0,1.0,,1.0,,,,1.0,,1.67,1.0,1.0
M896,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
Q264,2015,2.0,2.0,1.0,,1.0,,,,1.0,,1.67,1.0,1.0
X495,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
M555,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M153,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
X007,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
X303,2015,2.0,2.0,1.0,,1.0,,,,1.0,,1.67,1.0,1.0
K059,2015,1.0,2.0,2.0,,2.0,,,,2.0,,1.67,2.0,2.0
X447,2015,2.0,2.0,1.0,,1.0,,,,1.0,,1.67,1.0,1.0
X069,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M324,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q650,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
M303,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
K468,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M290,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
M247,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
M158,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
X287,2015,2.0,3.0,2.0,,2.0,,,,2.0,,2.33,2.0,2.0
K728,2015,2.0,2.0,1.0,,1.0,,,,1.0,,1.67,1.0,1.0
Q496,2015,3.0,3.0,3.0,,3.0,,,,3.0,,3.0,3.0,3.0
M289,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
R041,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M011,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
X452,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
X458,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
K647,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
X315,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
K488,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
X064,2015,2.0,3.0,2.0,,2.0,,,,2.0,,2.33,2.0,2.0
Q020,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
M116,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
X081,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
K698,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
X244,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
M450,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
X414,2015,2.0,3.0,3.0,,2.0,,,,3.0,,2.67,2.0,3.0
R721,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
R069,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q318,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
X520,2015,3.0,3.0,3.0,,3.0,,,,2.0,,3.0,3.0,2.0
X448,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
X086,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
K576,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q262,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
M042,2015,1.0,1.0,2.0,,1.0,,,,2.0,,1.33,1.0,2.0
K553,2015,1.0,2.0,2.0,,1.0,,,,2.0,,1.67,1.0,2.0
X260,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q343,2015,1.0,1.0,2.0,,1.0,,,,2.0,,1.33,1.0,2.0
K537,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
M112,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
K322,2015,3.0,3.0,3.0,,3.0,,,,3.0,,3.0,3.0,3.0
Q297,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
M933,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
K090,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
R047,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K592,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
K554,2015,2.0,1.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
Q316,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
X374,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
Q299,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M610,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
K654,2015,2.0,2.0,2.0,,1.0,,,,2.0,,2.0,1.0,2.0
K035,2015,2.0,2.0,1.0,,1.0,,,,2.0,,1.67,1.0,2.0
K172,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M325,2015,2.0,3.0,2.0,,2.0,,,,2.0,,2.33,2.0,2.0
M334,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K589,2015,3.0,3.0,3.0,,2.0,,,,2.0,,3.0,2.0,2.0
K118,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
M059,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
X278,2015,3.0,3.0,3.0,,3.0,,,,3.0,,3.0,3.0,3.0
M072,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
K443,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K230,2015,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,1.0,2.0
Q004,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
M439,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K187,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K682,2015,1.0,2.0,2.0,,1.0,,,,1.0,,1.67,1.0,1.0
K108,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
K096,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
X170,2015,1.0,2.0,2.0,,1.0,,,,2.0,,1.67,1.0,2.0
R023,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
K578,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
Q792,2015,2.0,2.0,2.0,,1.0,,,,1.0,,2.0,1.0,1.0
R007,2015,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0
Q022,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
K596,2015,3.0,3.0,3.0,,2.0,,,,2.0,,3.0,2.0,2.0
Q126,2015,1.0,1.0,2.0,,2.0,,,,2.0,,1.33,2.0,2.0
Q877,2015,1.0,1.0,2.0,,1.0,,,,1.0,,1.33,1.0,1.0
X359,2015,1.0,2.0,1.0,,1.0,,,,1.0,,1.33,1.0,1.0
