BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
K515,2007,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.67,3.0,2.8
K585,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K181,2007,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,3.33,2.5,2.4
K277,2007,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
X117,2007,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.67,3.0,3.2
K241,2007,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.33,2.0,1.2
K255,2007,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
K014,2007,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.2
K078,2007,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.33,3.0,3.2
K240,2007,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.33,4.0,3.2
X229,2007,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.67,3.0,2.8
X339,2007,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.33,2.0,2.8
K138,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X166,2007,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
X313,2007,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.67,4.0,2.8
X328,2007,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
X399,2007,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.67,2.0,2.4
X076,2007,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.4
X080,2007,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,3.33,3.0,2.8
X083,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.33,1.0,1.2
X106,2007,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.67,1.5,1.8
X335,2007,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.67,4.0,2.4
X391,2007,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
